implementation,model_size,ttt_type,backward,batch,seq_len,mini_batch,dtype,time_ms,throughput,checkpoint_interval,failed,inner_only
"burn","1b","fused-naive-multi",false,1,512,16,"bfloat16",2776.0707376,184.43334064413648,1,false,"false"
"burn","1b","fused-naive-multi",false,1,512,16,"float32",423.27076040000003,1209.627614050517,1,false,"false"
"burn","1b","fused-naive-multi",true,1,512,16,"float32",3397.3413248,150.7060819183781,1,false,"false"
"burn","1b","fused-naive-multi",true,1,1024,16,"float32",11457.319543000001,89.37518030782569,1,false,"false"
"burn","1b","fused-naive-multi",false,1,2048,16,"float32",1385.7233966,1477.9284271485612,1,false,"false"
"burn","1b","fused-naive",false,1,512,16,"bfloat16",2724.7456960000004,187.9074442622773,1,false,"false"
"burn","1b","fused-naive",false,1,512,16,"float32",490.1274738,1044.6261990384266,1,false,"false"
"burn","1b","fused-naive",false,1,2048,16,"float32",1642.6385038,1246.7746222082683,1,false,"false"
"burn","1b","fused-tile-multi",false,1,512,16,"bfloat16",2696.0520703999996,189.9073113688183,1,false,"false"
"burn","1b","fused-tile-multi",false,1,512,16,"float32",569.322575,899.3144176655913,1,false,"false"
"burn","1b","fused-tile-multi",true,1,2048,16,"bfloat16",24661.8264104,83.04332233627066,1,false,"false"
"burn","1b","fused-tile-multi",false,1,2048,16,"float32",1936.4166448,1057.6236294496036,1,false,"false"
"burn","1b","fused-tile",false,1,512,16,"bfloat16",2882.106985,177.64781205719189,1,false,"false"
"burn","1b","fused-tile",false,1,512,16,"float32",766.0024952000001,668.4051334145053,1,false,"false"
"burn","1b","fused-tile",false,1,2048,16,"float32",2705.9222456,756.858406899968,1,false,"false"
"burn","1b","linear",false,1,2048,16,"bfloat16",7907.4630118,258.99583683715616,1,false,"false"
"burn","1b","linear",false,1,2048,16,"float32",5317.035930800002,385.177009644894,1,false,"false"
"burn","1b","mlp",false,1,2048,16,"float32",8655.158668800002,236.62188971562156,1,false,"false"
"burn","125m-h32","fused-naive",false,2,2048,16,"float32",486.01065439999996,8427.798779548732,1,false,"false"
"burn","125m-h32","fused-naive",false,4,2048,16,"float32",589.1263804,13905.335548609903,1,false,"false"
"burn","125m-h32","fused-naive",false,8,2048,16,"float32",1023.5610092000003,16006.862173076997,1,false,"false"
"burn","125m-h32","fused-naive",false,16,2048,16,"float32",1905.2888510000002,17198.442106456223,1,false,"false"
